"Date";"DateCheck";"sampleQ"
2016-05-30 13:29:00;"30/05/2016 13:29";10
2016-05-30 14:04:00;"30/05/2016 14:04";11
2016-05-30 14:40:00;"30/05/2016 14:40";11
2016-05-30 15:18:00;"30/05/2016 15:18";11
2016-05-30 15:59:00;"30/05/2016 15:59";12
2016-05-30 16:42:00;"30/05/2016 16:42";12
2016-05-30 17:28:00;"30/05/2016 17:28";12
2016-05-31 17:25:00;"31/05/2016 17:25";1
2016-05-31 21:01:00;"31/05/2016 21:01";1
2016-06-01 00:59:00;"01/06/2016 00:59";1
2016-06-01 05:27:00;"01/06/2016 05:27";2
2016-06-01 10:34:00;"01/06/2016 10:34";2
2016-06-01 16:28:00;"01/06/2016 16:28";2
2016-06-01 23:01:00;"01/06/2016 23:01";3
2016-06-02 05:46:00;"02/06/2016 05:46";3
2016-06-02 12:57:00;"02/06/2016 12:57";3
2016-06-02 21:07:00;"02/06/2016 21:07";4
2016-06-03 03:43:00;"03/06/2016 03:43";4
2016-06-03 04:36:00;"03/06/2016 04:36";4
2016-06-03 06:22:00;"03/06/2016 06:22";5
2016-06-03 08:56:00;"03/06/2016 08:56";5
2016-06-03 12:05:00;"03/06/2016 12:05";5
2016-06-03 15:34:00;"03/06/2016 15:34";6
2016-06-03 19:10:00;"03/06/2016 19:10";6
2016-06-03 21:17:00;"03/06/2016 21:17";6
2016-06-03 22:24:00;"03/06/2016 22:24";7
2016-06-04 00:37:00;"04/06/2016 00:37";7
2016-06-04 03:18:00;"04/06/2016 03:18";7
2016-06-04 06:02:00;"04/06/2016 06:02";8
2016-06-04 07:04:00;"04/06/2016 07:04";8
2016-06-04 08:35:00;"04/06/2016 08:35";8
2016-06-04 09:24:00;"04/06/2016 09:24";9
2016-06-04 09:44:00;"04/06/2016 09:44";9
2016-06-04 10:02:00;"04/06/2016 10:02";9
2016-06-04 10:21:00;"04/06/2016 10:21";10
2016-06-04 10:39:00;"04/06/2016 10:39";10
2016-06-04 11:00:00;"04/06/2016 11:00";10
2016-06-04 11:27:00;"04/06/2016 11:27";11
2016-06-04 12:08:00;"04/06/2016 12:08";11
2016-06-04 13:01:00;"04/06/2016 13:01";11
2016-06-04 14:12:00;"04/06/2016 14:12";12
2016-06-04 15:05:00;"04/06/2016 15:05";12
2016-06-04 15:31:00;"04/06/2016 15:31";12
2016-06-07 19:33:00;"07/06/2016 19:33";1
2016-06-08 01:44:00;"08/06/2016 01:44";1
2016-06-08 07:17:00;"08/06/2016 07:17";1
2016-06-08 12:27:00;"08/06/2016 12:27";2
2016-06-08 19:17:00;"08/06/2016 19:17";2
2016-06-09 02:35:00;"09/06/2016 02:35";2
2016-06-09 10:35:00;"09/06/2016 10:35";3
2016-06-09 19:40:00;"09/06/2016 19:40";3
2016-06-10 05:25:00;"10/06/2016 05:25";3
2016-06-10 15:58:00;"10/06/2016 15:58";4
2016-06-11 03:30:00;"11/06/2016 03:30";4
2016-06-11 14:17:00;"11/06/2016 14:17";4
2016-06-12 00:42:00;"12/06/2016 00:42";5
2016-06-12 11:36:00;"12/06/2016 11:36";5
2016-06-12 23:04:00;"12/06/2016 23:04";5
2016-06-13 10:43:00;"13/06/2016 10:43";6
2016-06-13 22:49:00;"13/06/2016 22:49";6
2016-06-14 12:34:00;"14/06/2016 12:34";6
2016-06-14 12:52:00;"14/06/2016 12:52";7
2016-06-14 13:06:00;"14/06/2016 13:06";7
2016-06-14 15:11:00;"14/06/2016 15:11";1
2016-06-14 15:48:00;"14/06/2016 15:48";1
2016-06-14 16:58:00;"14/06/2016 16:58";1
2016-06-14 18:16:00;"14/06/2016 18:16";2
2016-06-14 20:17:00;"14/06/2016 20:17";2
2016-06-14 22:58:00;"14/06/2016 22:58";2
2016-06-15 01:57:00;"15/06/2016 01:57";3
2016-06-15 05:04:00;"15/06/2016 05:04";3
2016-06-15 08:14:00;"15/06/2016 08:14";3
2016-06-15 11:43:00;"15/06/2016 11:43";4
2016-06-15 15:24:00;"15/06/2016 15:24";4
2016-06-15 19:11:00;"15/06/2016 19:11";4
2016-06-15 23:09:00;"15/06/2016 23:09";5
2016-06-16 03:32:00;"16/06/2016 03:32";5
2016-06-16 08:21:00;"16/06/2016 08:21";5
2016-06-16 13:18:00;"16/06/2016 13:18";6
2016-06-16 18:33:00;"16/06/2016 18:33";6
2016-06-16 21:34:00;"16/06/2016 21:34";6
2016-06-16 22:34:00;"16/06/2016 22:34";7
2016-06-16 22:42:00;"16/06/2016 22:42";7
2016-06-16 22:48:00;"16/06/2016 22:48";7
2016-06-16 22:56:00;"16/06/2016 22:56";8
2016-06-16 23:05:00;"16/06/2016 23:05";8
2016-06-16 23:15:00;"16/06/2016 23:15";8
2016-06-16 23:29:00;"16/06/2016 23:29";9
2016-06-17 00:33:00;"17/06/2016 00:33";9
2016-06-17 00:49:00;"17/06/2016 00:49";9
2016-06-17 01:09:00;"17/06/2016 01:09";10
2016-06-17 01:35:00;"17/06/2016 01:35";10
2016-06-17 02:32:00;"17/06/2016 02:32";10
2016-06-17 03:38:00;"17/06/2016 03:38";11
2016-06-17 04:56:00;"17/06/2016 04:56";11
2016-06-17 06:19:00;"17/06/2016 06:19";11
2016-06-17 07:45:00;"17/06/2016 07:45";12
2016-06-17 09:20:00;"17/06/2016 09:20";12
2016-06-17 11:05:00;"17/06/2016 11:05";12
2016-06-21 22:20:00;"21/06/2016 22:20";1
2016-06-22 09:04:00;"22/06/2016 09:04";1
2016-06-22 20:48:00;"22/06/2016 20:48";1
2016-06-23 09:29:00;"23/06/2016 09:29";2
2016-06-23 23:32:00;"23/06/2016 23:32";2
2016-06-24 14:51:00;"24/06/2016 14:51";2
2016-06-25 03:14:00;"25/06/2016 03:14";3
2016-06-25 03:40:00;"25/06/2016 03:40";3
2016-06-25 04:07:00;"25/06/2016 04:07";3
2016-06-25 04:33:00;"25/06/2016 04:33";4
2016-06-25 05:16:00;"25/06/2016 05:16";4
2016-06-25 07:49:00;"25/06/2016 07:49";4
2016-06-25 11:15:00;"25/06/2016 11:15";5
2016-06-25 14:53:00;"25/06/2016 14:53";5
2016-06-25 19:19:00;"25/06/2016 19:19";5
2016-06-26 01:07:00;"26/06/2016 01:07";6
2016-06-26 07:41:00;"26/06/2016 07:41";6
2016-06-26 15:15:00;"26/06/2016 15:15";6
2016-06-26 23:44:00;"26/06/2016 23:44";7
2016-06-27 09:27:00;"27/06/2016 09:27";7
2016-06-27 20:57:00;"27/06/2016 20:57";7
2016-06-28 08:55:00;"28/06/2016 08:55";8
2016-06-29 00:52:00;"29/06/2016 00:52";1
2016-06-29 14:27:00;"29/06/2016 14:27";1
2016-06-30 04:57:00;"30/06/2016 04:57";1
2016-06-30 18:53:00;"30/06/2016 18:53";2
2016-07-01 09:54:00;"01/07/2016 09:54";2
2016-07-02 01:14:00;"02/07/2016 01:14";2
2016-07-02 18:12:00;"02/07/2016 18:12";3
2016-07-03 14:38:00;"03/07/2016 14:38";3
2016-07-04 14:41:00;"04/07/2016 14:41";3
2016-07-06 21:45:00;"06/07/2016 21:45";1
2016-07-08 11:38:00;"08/07/2016 11:38";1
2016-07-10 06:16:00;"10/07/2016 06:16";1
2016-07-12 02:42:00;"12/07/2016 02:42";2
