"Date";"DateCheck";"Q.m3Hrs";"Qna"
2016-03-25 08:32:00;"25/03/2016 08:32";1,201;1,201
2016-03-25 08:34:00;"25/03/2016 08:34";1,203;1,203
2016-03-25 08:36:00;"25/03/2016 08:36";1,223;1,223
2016-03-25 08:38:00;"25/03/2016 08:38";1,22;1,22
2016-03-25 08:40:00;"25/03/2016 08:40";1,194;1,194
2016-03-25 08:42:00;"25/03/2016 08:42";1,197;1,197
2016-03-25 08:44:00;"25/03/2016 08:44";1,239;1,239
2016-03-25 08:46:00;"25/03/2016 08:46";1,187;1,187
2016-03-25 08:48:00;"25/03/2016 08:48";1,21;1,21
2016-03-25 08:50:00;"25/03/2016 08:50";1,158;1,158
2016-03-25 08:52:00;"25/03/2016 08:52";1,207;1,207
2016-03-25 08:54:00;"25/03/2016 08:54";1,244;1,244
2016-03-25 08:56:00;"25/03/2016 08:56";1,217;1,217
2016-03-25 08:58:00;"25/03/2016 08:58";1,213;1,213
2016-03-25 09:00:00;"25/03/2016 09:00";1,18;1,18
2016-03-25 09:02:00;"25/03/2016 09:02";1,138;1,138
2016-03-25 09:04:00;"25/03/2016 09:04";1,19;1,19
2016-03-25 09:06:00;"25/03/2016 09:06";1,155;1,155
2016-03-25 09:08:00;"25/03/2016 09:08";1,184;1,184
2016-03-25 09:10:00;"25/03/2016 09:10";1,201;1,201
2016-03-25 09:12:00;"25/03/2016 09:12";1,211;1,211
2016-03-25 09:14:00;"25/03/2016 09:14";1,187;1,187
2016-03-25 09:16:00;"25/03/2016 09:16";1,212;1,212
2016-03-25 09:18:00;"25/03/2016 09:18";1,202;1,202
2016-03-25 09:20:00;"25/03/2016 09:20";1,2;1,2
2016-03-25 09:22:00;"25/03/2016 09:22";1,224;1,224
2016-03-25 09:24:00;"25/03/2016 09:24";1,249;1,249
2016-03-25 09:26:00;"25/03/2016 09:26";1,203;1,203
2016-03-25 09:28:00;"25/03/2016 09:28";1,16;1,16
2016-03-25 09:30:00;"25/03/2016 09:30";1,224;1,224
2016-03-25 09:32:00;"25/03/2016 09:32";1,206;1,206
2016-03-25 09:34:00;"25/03/2016 09:34";1,181;1,181
2016-03-25 09:36:00;"25/03/2016 09:36";1,199;1,199
2016-03-25 09:38:00;"25/03/2016 09:38";1,186;1,186
2016-03-25 09:40:00;"25/03/2016 09:40";1,216;1,216
2016-03-25 09:42:00;"25/03/2016 09:42";1,136;1,136
2016-03-25 09:44:00;"25/03/2016 09:44";1,133;1,133
2016-03-25 09:46:00;"25/03/2016 09:46";1,194;1,194
2016-03-25 09:48:00;"25/03/2016 09:48";1,17;1,17
2016-03-25 09:50:00;"25/03/2016 09:50";1,147;1,147
2016-03-25 09:52:00;"25/03/2016 09:52";1,186;1,186
2016-03-25 09:54:00;"25/03/2016 09:54";1,195;1,195
2016-03-25 09:56:00;"25/03/2016 09:56";1,186;1,186
2016-03-25 09:58:00;"25/03/2016 09:58";1,151;1,151
2016-03-25 10:00:00;"25/03/2016 10:00";1,177;1,177
2016-03-25 10:02:00;"25/03/2016 10:02";1,169;1,169
2016-03-25 10:04:00;"25/03/2016 10:04";1,23;1,23
2016-03-25 10:06:00;"25/03/2016 10:06";1,138;1,138
2016-03-25 10:08:00;"25/03/2016 10:08";1,164;1,164
2016-03-25 10:10:00;"25/03/2016 10:10";1,206;1,206
2016-03-25 10:12:00;"25/03/2016 10:12";1,176;1,176
2016-03-25 10:14:00;"25/03/2016 10:14";1,186;1,186
2016-03-25 10:16:00;"25/03/2016 10:16";1,112;1,112
2016-03-25 10:18:00;"25/03/2016 10:18";1,137;1,137
2016-03-25 10:20:00;"25/03/2016 10:20";1,19;1,19
2016-03-25 10:22:00;"25/03/2016 10:22";1,182;1,182
2016-03-25 10:24:00;"25/03/2016 10:24";1,181;1,181
2016-03-25 10:26:00;"25/03/2016 10:26";1,204;1,204
2016-03-25 10:28:00;"25/03/2016 10:28";1,161;1,161
2016-03-25 10:30:00;"25/03/2016 10:30";1,158;1,158
2016-03-25 10:32:00;"25/03/2016 10:32";1,158;1,158
2016-03-25 10:34:00;"25/03/2016 10:34";1,155;1,155
2016-03-25 10:36:00;"25/03/2016 10:36";1,184;1,184
2016-03-25 10:38:00;"25/03/2016 10:38";1,201;1,201
2016-03-25 10:40:00;"25/03/2016 10:40";1,152;1,152
2016-03-25 10:42:00;"25/03/2016 10:42";1,163;1,163
2016-03-25 10:44:00;"25/03/2016 10:44";1,185;1,185
2016-03-25 10:46:00;"25/03/2016 10:46";1,112;1,112
2016-03-25 10:48:00;"25/03/2016 10:48";1,131;1,131
2016-03-25 10:50:00;"25/03/2016 10:50";1,203;1,203
2016-03-25 10:52:00;"25/03/2016 10:52";1,164;1,164
2016-03-25 10:54:00;"25/03/2016 10:54";1,168;1,168
2016-03-25 10:56:00;"25/03/2016 10:56";1,217;1,217
2016-03-25 10:58:00;"25/03/2016 10:58";1,191;1,191
2016-03-25 11:00:00;"25/03/2016 11:00";1,165;1,165
2016-03-25 11:02:00;"25/03/2016 11:02";1,098;1,098
2016-03-25 11:04:00;"25/03/2016 11:04";1,183;1,183
2016-03-25 11:06:00;"25/03/2016 11:06";1,146;1,146
2016-03-25 11:08:00;"25/03/2016 11:08";1,094;1,094
2016-03-25 11:10:00;"25/03/2016 11:10";1,185;1,185
2016-03-25 11:12:00;"25/03/2016 11:12";1,167;1,167
2016-03-25 11:14:00;"25/03/2016 11:14";1,116;1,116
2016-03-25 11:16:00;"25/03/2016 11:16";1,151;1,151
2016-03-25 11:18:00;"25/03/2016 11:18";1,144;1,144
2016-03-25 11:20:00;"25/03/2016 11:20";1,141;1,141
2016-03-25 11:22:00;"25/03/2016 11:22";1,15;1,15
